step,epoch,threshold,accuracy,f1_score,precision,recall,f1_macro
500,0.431,0.06753028184175491,0.857263990955342,0.9095144239383623,0.8340453499835688,1.0,0.7858608908989471
1000,0.862,0.12618786096572876,0.857263990955342,0.9094982078853047,0.834155161078238,0.9998029944838456,0.7859656814827594
1500,1.293,0.05248842388391495,0.857263990955342,0.9095144239383623,0.8340453499835688,1.0,0.7858608908989471
2000,1.724,0.13970239460468292,0.8569813453928773,0.9092213850017941,0.8346508563899868,0.9984239558707644,0.7861686152705375
2500,2.155,0.02619262784719467,0.857263990955342,0.9095144239383623,0.8340453499835688,1.0,0.7858608908989471
3000,2.586,0.026850568130612373,0.857263990955342,0.9095144239383623,0.8340453499835688,1.0,0.7858608908989471
3480,3.0,0.12122967839241028,0.8566986998304127,0.9089603160351948,0.8350379412735071,0.9972419227738377,0.7862651613354474
