step,epoch,threshold,accuracy,f1_score,precision,recall,f1_macro
500,0.058,0.10827293246984482,0.7173544375353307,0.8354180381830152,0.7173544375353307,1.0,0.4177090190915076
4500,0.519,0.10786274075508118,0.8571226681741096,0.9094167189319954,0.8340180772391126,0.9998029944838456,0.7857013384028082
8500,0.981,0.08668757230043411,0.8565573770491803,0.9090420288556322,0.8337991122801249,0.9992119779353822,0.7849587023663394
13000,1.5,0.0796816498041153,0.8566986998304127,0.9091560652212866,0.8337167269142294,0.9996059889676912,0.785012815219339
17500,2.019,0.07471340149641037,0.8565573770491803,0.9090257237608677,0.8339088965630653,0.9990149724192278,0.7850637800774288
21500,2.481,0.06921128183603287,0.8561334087054834,0.9087813620071684,0.8334976988823143,0.9990149724192278,0.7842703601479692
26000,3.0,0.0666833370923996,0.855992085924251,0.9087162949028039,0.833251191062921,0.9992119779353822,0.7838998001780664
